14;17.0;C;20.0;20.0
7106;20.0;Ti;16.0;19.0
110367106;12.0;GCE;20.0;10.0
110365106;16.0;GCE;20.0;20.0
1047;16.0;D;10.0;10.0
123;16.0;D;10.0;10.0
159;10.0;C;13.0;12.0
78;10.0;C;13.0;12.0
321;10.0;GCE;12.0;12.0
qSqs;10.0;GCE;12.0;12.0
azdqsd;14.0;C;14.0;14.0
sdfsd;14.0;C;14.0;14.0
13;10.0;C;12.0;11.0
qsdqsd;10.0;C;12.0;11.0
q198qs;14.0;D;12.0;10.0
qxcqsq;14.0;D;12.0;10.0
741;10.0;D;12.0;13.0
12;10.0;D;12.0;13.0
azertyuio;11.0;F3;1.0;10.0
4717417;12.0;D;16.0;10.0
789654;10.0;C;10.0;10.0
104785;16.0;Ti;12.0;12.0
75454;12.0;Ti;17.0;15.0
wfsdfsd;16.0;Ti;18.0;16.0
5106565;11.0;F3;16.0;8.0
191919;15.0;C;16.0;17.0
sdfsdfQSqs;10.0;GCE;10.0;10.0
199191911;12.0;C;16.0;10.0
SDFSDFFGFDG;10.0;GCE;14.0;10.0
100000;20.0;C;11.0;11.0
787545;10.0;Ti;2.0;2.0
121212;10.0;Ti;10.0;5.0110361047
110361047;20.0;GCE;14.0;16.0
